#    Feige 34
#    Table file for FEIGE 34 flux standard
#    based on data from Oke ( AJ, 99, 1621, 1990 ).
#    Data extracted from STSDAS table held in CALOBS
#    directory at STScI. Note that these are fitted
#    continuum fluxes, not directly measured fluxes,
#    and so should be treated in the same way as
#    Fillipenko and Greenstein standards
#    More information: http//catserver.ing.iac.es/landscape/tn065-100/workflux.php
#
  3552       10.342	1.0
  3553       10.342	1.0
  3554       10.343	1.0
  3555       10.342	1.0
  3556       10.342	1.0
  3557       10.340	1.0
  3558       10.338	1.0
  3559       10.336	1.0
  3560       10.335	1.0
  3561       10.335	1.0
  3562       10.335	1.0
  3563       10.335	1.0
  3564       10.336	1.0
  3565       10.336	1.0
  3566       10.336	1.0
  3567       10.336	1.0
  3568       10.338	1.0
  3569       10.338	1.0
  3570       10.338	1.0
  3571       10.338	1.0
  3572       10.338	1.0
  3573       10.340	1.0
  3574       10.340	1.0
  3575       10.342	1.0
  3576       10.343	1.0
  3577       10.343	1.0
  3578       10.345	1.0
  3579       10.345	1.0
  3580       10.347	1.0
  3581       10.347	1.0
  3582       10.349	1.0
  3583       10.350	1.0
  3584       10.352	1.0
  3585       10.352	1.0
  3586       10.354	1.0
  3587       10.354	1.0
  3588       10.354	1.0
  3589       10.355	1.0
  3590       10.355	1.0
  3591       10.355	1.0
  3592       10.355	1.0
  3593       10.357	1.0
  3594       10.357	1.0
  3595       10.359	1.0
  3596       10.361	1.0
  3597       10.364	1.0
  3598       10.364	1.0
  3599       10.366	1.0
  3600       10.366	1.0
  3601       10.368	1.0
  3602       10.366	1.0
  3603       10.366	1.0
  3604       10.366	1.0
  3605       10.366	1.0
  3606       10.366	1.0
  3607       10.364	1.0
  3608       10.362	1.0
  3609       10.361	1.0
  3610       10.361	1.0
  3611       10.361	1.0
  3612       10.361	1.0
  3613       10.361	1.0
  3614       10.361	1.0
  3615       10.364	1.0
  3616       10.366	1.0
  3617       10.369	1.0
  3618       10.371	1.0
  3619       10.371	1.0
  3620       10.371	1.0
  3621       10.373	1.0
  3622       10.376	1.0
  3623       10.378	1.0
  3624       10.380	1.0
  3625       10.382	1.0
  3626       10.382	1.0
  3627       10.382	1.0
  3628       10.382	1.0
  3629       10.382	1.0
  3630       10.383	1.0
  3631       10.383	1.0
  3632       10.383	1.0
  3633       10.383	1.0
  3634       10.383	1.0
  3635       10.385	1.0
  3636       10.385	1.0
  3637       10.388	1.0
  3638       10.390	1.0
  3639       10.392	1.0
  3640       10.392	1.0
  3641       10.392	1.0
  3642       10.392	1.0
  3643       10.390	1.0
  3644       10.390	1.0
  3645       10.390	1.0
  3646       10.390	1.0
  3647       10.392	1.0
  3648       10.394	1.0
  3649       10.395	1.0
  3650       10.399	1.0
  3651       10.404	1.0
  3652       10.406	1.0
  3653       10.409	1.0
  3654       10.411	1.0
  3655       10.413	1.0
  3656       10.416	1.0
  3657       10.418	1.0
  3658       10.418	1.0
  3659       10.420	1.0
  3660       10.420	1.0
  3661       10.421	1.0
  3662       10.423	1.0
  3663       10.423	1.0
  3664       10.425	1.0
  3665       10.425	1.0
  3666       10.427	1.0
  3667       10.425	1.0
  3668       10.425	1.0
  3669       10.427	1.0
  3670       10.427	1.0
  3671       10.427	1.0
  3672       10.427	1.0
  3673       10.427	1.0
  3674       10.428	1.0
  3675       10.427	1.0
  3676       10.425	1.0
  3677       10.423	1.0
  3678       10.421	1.0
  3679       10.420	1.0
  3680       10.420	1.0
  3681       10.418	1.0
  3682       10.418	1.0
  3683       10.418	1.0
  3684       10.418	1.0
  3685       10.418	1.0
  3686       10.421	1.0
  3687       10.423	1.0
  3688       10.427	1.0
  3689       10.428	1.0
  3690       10.432	1.0
  3691       10.435	1.0
  3692       10.439	1.0
  3693       10.444	1.0
  3694       10.446	1.0
  3695       10.446	1.0
  3696       10.446	1.0
  3697       10.446	1.0
  3698       10.444	1.0
