# BD+33 2642
# Oke, AJ, 99, 1621.
# More information: http//catserver.ing.iac.es/landscape/tn065-100/workflux.php
#
  3364       10.560 1
  3365       10.559 1
  3366       10.557 1
  3367       10.555 1
  3368       10.555 1
  3369       10.557 1
  3370       10.560 1
  3371       10.562 1
  3372       10.564 1
  3373       10.564 1
  3374       10.564 1
  3375       10.564 1
  3376       10.562 1
  3377       10.562 1
  3378       10.560 1
  3379       10.559 1
  3380       10.557 1
  3381       10.555 1
  3382       10.555 1
  3383       10.555 1
  3384       10.557 1
  3385       10.557 1
  3386       10.557 1
  3387       10.557 1
  3388       10.555 1
  3389       10.555 1
  3390       10.555 1
  3391       10.553 1
  3392       10.555 1
  3393       10.555 1
  3394       10.555 1
  3395       10.557 1
  3396       10.559 1
  3397       10.559 1
  3398       10.557 1
  3399       10.555 1
  3400       10.553 1
  3401       10.552 1
  3402       10.550 1
  3403       10.548 1
  3404       10.546 1
  3405       10.545 1
  3406       10.545 1
  3407       10.545 1
  3408       10.545 1
  3409       10.545 1
  3410       10.545 1
  3411       10.545 1
  3412       10.546 1
  3413       10.546 1
  3414       10.546 1
  3415       10.546 1
  3416       10.546 1
  3417       10.548 1
  3418       10.550 1
  3419       10.552 1
  3420       10.552 1
  3421       10.553 1
  3422       10.553 1
  3423       10.553 1
  3424       10.553 1
  3425       10.553 1
  3426       10.553 1
  3427       10.553 1
  3428       10.553 1
  3429       10.552 1
  3430       10.552 1
  3431       10.553 1
  3432       10.555 1
  3433       10.557 1
  3434       10.559 1
  3435       10.559 1
  3436       10.559 1
  3437       10.557 1
  3438       10.555 1
  3439       10.553 1
  3440       10.553 1
  3441       10.555 1
  3442       10.557 1
  3443       10.560 1
  3444       10.562 1
  3445       10.566 1
  3446       10.569 1
  3447       10.574 1
  3448       10.578 1
  3449       10.581 1
  3450       10.583 1
  3451       10.583 1
  3452       10.583 1
  3453       10.581 1
  3454       10.583 1
  3455       10.585 1
  3456       10.586 1
  3457       10.586 1
  3458       10.586 1
  3459       10.585 1
  3460       10.583 1
  3461       10.583 1
  3462       10.583 1
  3463       10.581 1
  3464       10.579 1
  3465       10.579 1
  3466       10.581 1
  3467       10.583 1
  3468       10.581 1
  3469       10.578 1
  3470       10.574 1
  3471       10.569 1
  3472       10.569 1
  3473       10.571 1
  3474       10.572 1
  3475       10.574 1
  3476       10.576 1
  3477       10.578 1
  3478       10.578 1
  3479       10.579 1
  3480       10.581 1
  3481       10.581 1
  3482       10.583 1
  3483       10.583 1
  3484       10.585 1
  3485       10.585 1
  3486       10.585 1
  3487       10.585 1
  3488       10.585 1
  3489       10.583 1
  3490       10.583 1
  3491       10.581 1
  3492       10.579 1
  3493       10.579 1
  3494       10.581 1
  3495       10.581 1
  3496       10.583 1
  3497       10.583 1
  3498       10.585 1
  3499       10.585 1
  3500       10.585 1
  3501       10.586 1
  3502       10.586 1
  3503       10.588 1
  3504       10.586 1
  3505       10.585 1
  3506       10.585 1
  3507       10.585 1
  3508       10.585 1
  3509       10.588 1
  3510       10.588 1
  3511       10.590 1
  3512       10.592 1
  3513       10.593 1
  3514       10.593 1
  3515       10.595 1
  3516       10.597 1
  3517       10.597 1
  3518       10.597 1
  3519       10.597 1
  3520       10.595 1
  3521       10.592 1
  3522       10.586 1
  3523       10.585 1
  3524       10.588 1
  3525       10.592 1
  3526       10.597 1
  3527       10.604 1
  3528       10.605 1
  3529       10.607 1
  3530       10.609 1
  3531       10.609 1
  3532       10.611 1
  3533       10.612 1
  3534       10.612 1
  3535       10.611 1
  3536       10.611 1
  3537       10.611 1
  3538       10.612 1
  3539       10.612 1
  3540       10.612 1
  3541       10.612 1
  3542       10.611 1
  3543       10.612 1
  3544       10.614 1
  3545       10.614 1
  3546       10.616 1
  3547       10.618 1
  3548       10.619 1
  3549       10.619 1
  3550       10.619 1
  3551       10.619 1
  3552       10.618 1
  3553       10.616 1
  3554       10.614 1
  3555       10.609 1
  3556       10.605 1
  3557       10.602 1
  3558       10.600 1
  3559       10.597 1
  3560       10.595 1
  3561       10.595 1
  3562       10.597 1
  3563       10.597 1
  3564       10.597 1
  3565       10.597 1
  3566       10.595 1
  3567       10.593 1
  3568       10.590 1
  3569       10.590 1
  3570       10.588 1
  3571       10.588 1
  3572       10.588 1
  3573       10.588 1
  3574       10.588 1
  3575       10.590 1
  3576       10.590 1
  3577       10.590 1
  3578       10.592 1
  3579       10.593 1
  3580       10.595 1
  3581       10.597 1
  3582       10.600 1
  3583       10.600 1
  3584       10.602 1
  3585       10.602 1
  3586       10.602 1
  3587       10.602 1
  3588       10.600 1
  3589       10.599 1
  3590       10.597 1
  3591       10.597 1
  3592       10.597 1
  3593       10.593 1
  3594       10.592 1
  3595       10.590 1
  3596       10.590 1
  3597       10.593 1
  3598       10.595 1
  3599       10.595 1
  3600       10.595 1
  3601       10.595 1
  3602       10.593 1
  3603       10.593 1
  3604       10.595 1
  3605       10.595 1
  3606       10.595 1
  3607       10.597 1
  3608       10.599 1
  3609       10.600 1
  3610       10.604 1
  3611       10.605 1
  3612       10.607 1
  3613       10.607 1
  3614       10.607 1
  3615       10.607 1
  3616       10.609 1
  3617       10.609 1
  3618       10.609 1
  3619       10.609 1
  3620       10.611 1
  3621       10.612 1
  3622       10.616 1
  3623       10.619 1
  3624       10.623 1
  3625       10.625 1
  3626       10.626 1
  3627       10.628 1
  3628       10.632 1
  3629       10.635 1
  3630       10.637 1
  3631       10.640 1
  3632       10.640 1
  3633       10.640 1
  3634       10.637 1
  3635       10.635 1
  3636       10.637 1
  3637       10.637 1
  3638       10.637 1
  3639       10.635 1
  3640       10.633 1
  3641       10.630 1
  3642       10.630 1
  3643       10.630 1
  3644       10.630 1
  3645       10.630 1
  3646       10.630 1
  3647       10.630 1
  3648       10.630 1
  3649       10.633 1
  3650       10.633 1
  3651       10.635 1
  3652       10.637 1
  3653       10.640 1
  3654       10.642 1
  3655       10.644 1
  3656       10.647 1
  3657       10.647 1
  3658       10.647 1
  3659       10.647 1
  3660       10.647 1
  3661       10.649 1
  3662       10.649 1
  3663       10.649 1
  3664       10.649 1
  3665       10.649 1
  3666       10.647 1
  3667       10.647 1
  3668       10.644 1
  3669       10.644 1
  3670       10.642 1
  3671       10.640 1
  3672       10.638 1
  3673       10.638 1
  3674       10.638 1
  3675       10.637 1
  3676       10.637 1
  3677       10.635 1
  3678       10.633 1
  3679       10.632 1
  3680       10.628 1
  3681       10.626 1
  3682       10.625 1
  3683       10.623 1
  3684       10.625 1
  3685       10.626 1
  3686       10.628 1
  3687       10.630 1
  3688       10.632 1
  3689       10.633 1
  3690       10.635 1
  3691       10.635 1
